SMILES,UV_RT-s,Method
O=C(NCCC1=CC=CS1)C2=CC=C(C(C)=C2)C,78.6,AM-III
CC1(C)C(C=C2NC(C(C3=CC=CC=C3)C)=O)=C(C=C2)C4=C1C=CC=C4,96.0,AM-III
O=C(NC1=NC=CC=N1)C2=CC=C(O2)C,46.2,AM-III
COC1=C(C=CC(N2CCOCC2)=C1)N(C3(C(NC4CCCCC4)=O)CCCCC3)C(C(C=C5)=CC=C5C)=O,89.4,AM-III
COC1=CC=C(OC)C(NC(C2=CC3=C(S2)CCC3)=O)=C1,89.4,AM-III
CC1=CC=C(C(N(C2(C(NCC3=CC=CC=C3)=O)CCCCC2)CC4=CC=CO4)=O)C=C1,91.2,AM-III
O=C(NC1=CC2=C(OCO2)C=C1)C3=CC=C4C=COC4=C3,73.8,AM-III
CC(OC1=CC=C(C=C1)NC(C2=CN=CC3=C2C=CC=C3)=O)C,74.4,AM-III
OC(Cc1ccc(OCc2ccccc2)cc1)=O,76.2,AM-III
O=C(NCCC1CCN(CC1)CC2=CC=CC=C2)C3=C(C=C(C=C3)C)OC,60.0,AM-III
CC1=C(C=C(C=C1)NC(CC2=CC=CS2)=O)Br,83.4,AM-III
N#CC(C=N1)=CC=C1NC(C2=CC3=CC=CC=C3S2)=O,81.6,AM-III
COC1=CC(C)=C(C=C1)NC(C2=NC=CC=N2)=O,64.8,AM-III
CN1N=C2C=C(C=CC2=C1C)N(C3(C(NCC4=CC=CC=C4)=O)CCC5(OCCO5)CC3)C(C6=NC=CC=C6)=O,66.6,AM-III
O=C(NCC1=CC=NC=C1)C2=CN=C(C=N2)C,58.2,AM-III
CC(N(C(C1=CC2=CC=CC=C2O1)=O)C3=CC=C(N4CCOCC4)C=C3)(C(NC5=CC=C6C=CC=CC6=C5)=O)C7=NC=CN=C7,91.2,AM-III
O=C(NC1=CC2=C(N=CO2)C=C1)C3=CC4=C(S3)CCC4,76.2,AM-III
O=C(N(C1(C(NCC2=CC=CC=C2)=O)CCCCC1)CC3=CC4=CC=CC=C4N=C3)C5=CC=C6OCCOC6=C5,81.6,AM-III
OC(COC1CCCCC1)=O,59.4,AM-III
FC(F)(F)C1=CC(N2C=C(C)N=C2)=CC(NC(C3=CN=C(C=N3)C)=O)=C1,56.4,AM-III
O=C(NC1=CC=C(C=C1)OC2=CC=CN=C2)C3CC(OC)(OC)C3,58.2,AM-III
CC(O)(C(c1ccc(OCC(O)=O)cc1)=O)C,51.6,AM-III
ClC1=CC(OC)=CC(C(NCC2=CC=CO2)=O)=N1,75.0,AM-III
FC(F)(F)C(N=C1)=CC=C1NC(C2=CC(I)=C(C)C=C2)=O,90.6,AM-III
O=C(NC1=CC=C(C=C1)OC2=CC=CN=C2)COCC3=CC=CC=C3,72.0,AM-III
OC(C1=CC([N+]([O-])=O)=CC=C1F)=O,53.4,AM-III
O=C(NCCC1=CC=CS1)C2=CC=C3N=CC=CC3=C2,58.8,AM-III
OC(C1=CC=C(C=C1[N+]([O-])=O)Cl)=O,60.0,AM-III
OC(CCOCC1=CC=CC=C1)=O,82.8,AM-III
FC(C1=CC=C(NC(C2=NC=CC=N2)=O)C=C1)(F)F,69.6,AM-III
CC1=NC=C(C=N1)NC(COCC2=CC=CC=C2)=O,60.0,AM-III
CC(OC1=CC=C(C=C1)NC(C2=CC=C(C(F)(F)F)N=C2)=O)C,82.8,AM-III
CC1=CC=C(C(N(C2(C(NCC3=CC=CC=C3)=O)CCC4(OCCO4)CC2)CC5=CC=CC=C5)=O)C=C1,88.2,AM-III
IC1=C(C)C=CC(C(NC2=NC3=C(S2)CCCC3)=O)=C1,94.8,AM-III
CN1CCN(C2=NC=C(C=C2)NC(C3=CC=C(C=C3)C#C)=O)CC1,52.2,AM-III
CSC1=CC(NC(C2=C3OCOC3=CC=C2)=O)=CC=C1,83.4,AM-III
