SMILES,UV_RT-s,Method
O=C(NC(C=C1)=CC=C1C(C)=O)CC2=CC(F)=CC(F)=C2,82.8,AM-IV
O=C(NC(C=C1)=CC=C1C(C)=O)C2=CC(C)=CC(C)=C2,88.2,AM-IV
CC(CC1=CC=C(C=C1)[C@@H](C(NC(C=C2)=CC=C2C(C)=O)=O)C)C,101.4,AM-IV
CC(C(NC(C=C1)=CC=C1C(C)=O)=O)C2=CC=C(CC3CCCC3=O)C=C2,86.4,AM-IV
O=C(NC(C=C1)=CC=C1C(C)=O)C2=CC=C(C=N2)C(F)(F)F,88.8,AM-IV
O=C(NC(C=C1)=CC=C1C(C)=O)C2(CC2)C3=CC=CC=C3,88.2,AM-IV
O=C(NC(C=C1)=CC=C1C(C)=O)[C@@H](C)C2=CC3=CC=C(C=C3C=C2)OC,91.2,AM-IV
O=C(NC(C=C1)=CC=C1C(C)=O)C(C2=CC=CC=C2)C3=CC=CC=C3,94.8,AM-IV
FC(F)(F)C1=CC=C(C=C1)CC(NC(C=C2)=CC=C2C(C)=O)=O,90.0,AM-IV
O=C(NC(C=C1)=CC=C1C(C)=O)CC2=CC=C3C(OCO3)=C2,78.0,AM-IV
FC1=CC(C(C(NC(C=C2)=CC=C2C(C)=O)=O)C)=CC=C1C3=CC=CC=C3,99.0,AM-IV
O=C(NC(C=C1)=CC=C1C(C)=O)C2C3=C(C=CC=C3)OC4=C2C=CC=C4,91.2,AM-IV
O=C(NC(C=C1)=CC=C1C(C)=O)C2=CC=C3N=C(C=CC3=C2)C,61.8,AM-IV
O=C(NC(C=C1)=CC=C1C(C)=O)C2=CC=C(C=C2)C#N,76.8,AM-IV
O=C(NC(C=C1)=CC=C1C(C)=O)C2=CC=CO2,70.2,AM-IV
O=C(NC(C=C1)=CN=C1OC)COC2=CC=CC=C2,76.8,AM-IV
O=C(NC(C=C1)=CN=C1OC)CC2=CC=C(C=C2)OC,72.6,AM-IV
O=C(NC(C=C1)=CN=C1OC)C2=CC(C)=CC(C)=C2,84.0,AM-IV
CC(CC1=CC=C(C=C1)[C@@H](C(NC(C=C2)=CN=C2OC)=O)C)C,99.0,AM-IV
CC(C(NC(C=C1)=CN=C1OC)=O)C2=CC=C(CC3CCCC3=O)C=C2,83.4,AM-IV
COC1=NC=C(NC(C2=CC=C(C(F)(F)F)C=N2)=O)C=C1,85.2,AM-IV
COC1=NC=C(C=C1)NC(C2(CC2)C3=CC=CC=C3)=O,82.2,AM-IV
COC1=NC=C(NC(C(C)(C2=CC=CC=C2)C)=O)C=C1,82.8,AM-IV
O=C(NC1=CN=C(OC)C=C1)C(C2=CC=CC=C2)C3=CC=CC=C3,90.0,AM-IV
COC1=NC=C(NC(CC2=CC=C(C(F)(F)F)C=C2)=O)C=C1,84.6,AM-IV
O=C(NC1=CN=C(OC)C=C1)CC2=CC=C3C(OCO3)=C2,71.4,AM-IV
O=C(NCC1=CC=CC=C1)CC2=CC=C(C)C=C2,83.4,AM-IV
CC(C1=CC=C(CBr)C=C1)C(NCC2=CC=CC=C2)=O,89.4,AM-IV
O=C(NCC1=CC=CC=C1)C(C2=CC3=CC=C(OC)C=C3C=C2)C,91.2,AM-IV
FC1=CC(C(C)C(NCC2=CC=CC=C2)=O)=CC=C1C3=CC=CC=C3,97.2,AM-IV
O=C1C2=C(C=CC(CC(NCC3=CC=CC=C3)=O)=C2)OCC4=C1C=CC=C4,87.6,AM-IV
O=C(NCC1=CC=CC=C1)C2=CC=C(C#N)C=C2,76.8,AM-IV
FC1=CC=C(C(F)=C1)CNC(COC2=CC=CC=C2)=O,88.2,AM-IV
FC1=CC=C(C(F)=C1)CNC(CC2=CC=C(OC)C=C2)=O,84.0,AM-IV
FC1=CC=C(C(F)=C1)CNC(C2=C(C)C=CC=C2C)=O,88.2,AM-IV
FC1=CC=C(C(F)=C1)CNC(C2=C(C)C=C(C)C=C2C)=O,92.4,AM-IV
FC1=CC=C(C(F)=C1)CNC(C2=CC(OC)=C(OC)C(OC)=C2)=O,84.0,AM-IV
O=C(NCC1=CC=C(F)C=C1F)C2=CC=C(C(F)(F)F)C=N2,92.4,AM-IV
O=C(NCC1=CC=C(F)C=C1F)C2=CC(C)=CC(C)=C2,90.6,AM-IV
O=C(NCC1=CC=C(F)C=C1F)C(C2=CC3=CC=C(OC)C=C3C=C2)C,96.6,AM-IV
CC(C1=CC=C(C=C1)CC2CCCC2=O)C(NCC3=CC=C(F)C=C3F)=O,92.4,AM-IV
FC1=CC=C(C(F)=C1)CNC(C(C2=CC=CC=C2)C3=CC=CC=C3)=O,96.0,AM-IV
FC1=CC=C(C(F)=C1)CNC(CC2=CC=C(C(F)(F)F)C=C2)=O,91.2,AM-IV
FC1=CC(C(C)C(NCC2=CC=C(F)C=C2F)=O)=CC=C1C3=CC=CC=C3,99.0,AM-IV
O=C(C1C2=C(OC3=C1C=CC=C3)C=CC=C2)NCC4=CC=C(F)C=C4F,93.6,AM-IV
O=C1C2=C(C=CC(CC(NCC3=CC=C(F)C=C3F)=O)=C2)OCC4=C1C=CC=C4,89.4,AM-IV
O=C(C1=CC=C2N=C(C)C=CC2=C1)NCC3=CC=C(F)C=C3F,64.2,AM-IV
O=C(NCC1=CC=C(F)C=C1F)C2=CC=C(C#N)C=C2,80.4,AM-IV
FC1=CC=C(C(F)=C1)CNC(C2=CC=C([N+]([O-])=O)C=C2)=O,83.4,AM-IV
FC1=CC=C(C(F)=C1)CNC(C2=CC=CO2)=O,73.8,AM-IV
FC1=CC=C(C(F)=C1)CNC(CC2=CNC3=CC=CC=C32)=O,80.4,AM-IV
FC1=CC=C(C(F)=C1)CNC(/C=C/C2=CC=CC=C2)=O,85.8,AM-IV
O=C(NCC1=CC=CO1)C2=CC=C(C=N2)C(F)(F)F,84.0,AM-IV
CC(C(NCC1=CC=CO1)=O)C2=CC=C(CC3CCCC3=O)C=C2,82.2,AM-IV
O=C(NCC1=CC=CO1)C2C3=C(C=CC=C3)OC4=C2C=CC=C4,88.2,AM-IV
O=C(NCC1=CC=CO1)C2=CC=C3N=C(C=CC3=C2)C,54.0,AM-IV
CC1=CC=C(C=C1)CNC(CC2=CC=C(OC)C=C2)=O,84.6,AM-IV
CC1=CC=C(C=C1)CNC(C2=CC(OC)=C(OC)C(OC)=C2)=O,85.2,AM-IV
CC1=CC=C(C=C1)CNC(C(C)C2=CC=C(CC(C)C)C=C2)=O,106.8,AM-IV
O=C(NCC1=CC=C(C)C=C1)C2=CC=C(C(F)(F)F)C=N2,92.4,AM-IV
CC1=CC=C(C=C1)CNC(C2=CC(C)=CC(C)=C2)=O,92.4,AM-IV
O=C(C(C1=CC2=CC=C(OC)C=C2C=C1)C)NCC3=CC=C(C)C=C3,94.8,AM-IV
CC(C1=CC=C(C=C1)CC2CCCC2=O)C(NCC3=CC=C(C)C=C3)=O,90.6,AM-IV
O=C(NCC1=CC=C(C)C=C1)C(C2=CC=CC=C2)C3=CC=CC=C3,96.6,AM-IV
O=C(NCC1=CC=C(C)C=C1)CC2=CC=C(C(F)(F)F)C=C2,92.4,AM-IV
O=C(NCC1=CC=C(C)C=C1)CC2=CC=C3C(OCO3)=C2,82.2,AM-IV
FC1=CC(C(C)C(NCC2=CC=C(C)C=C2)=O)=CC=C1C3=CC=CC=C3,100.8,AM-IV
