SMILES,UV_RT-s,Method
C1(C2=CN=CN=C2)=CSC3=C1C=CC=C3,68.900568,AM-I
CC1=CC=CC(C(C=N2)=CC=C2N)=C1,51.0,AM-I
CC1=C(C2=NC(C)=CC=C2)C=CC(F)=C1,48.0,AM-I
COC1=CN=C(C#CC2=NC=CC=C2)C=C1,56.4,AM-I
FC1=C(C(F)=CC=C1)C2=CSC(CCC3=CC=CC=C3)=N2,90.0,AM-I
CC1=CC(C2=NC=CC(C3=CC=CC=C3)=C2)=CC(C)=C1,85.201722,AM-I
COC1=CC=C(C=C1)C#CC(C=N2)=CN=C2OC,76.8,AM-I
O=C1CCC2=C(N1)C=CC(C3=CC=NN3C)=C2,52.2,AM-I
N#CC1=NC=C(C2=CN=C(N=C2OC)OC)C=N1,67.8,AM-I
CC1=C(C2=CC=CC(OCC3=CC=CC=C3)=C2)C=CC(OC)=N1,95.4,AM-I
CC1=CC(C(C(C2=NC=C(C=C2)C)C)=O)=CC=C1,70.2,AM-I
BrC1=CC=CC(=N1)C1=CC=NC=C1,52.949952,AM-I
CC1=CC=C(C2=CC3=C(C=NC=C3)C=C2)S1,63.6,AM-I
CN1C=C(C2=CC3=C(C=C2)NC=C3)C=N1,58.8,AM-I
O=CC1=CC=C(C2=CC=NN2C)C=C1C,65.4,AM-I
FC1=CC=C(C2=CN=CC3=C2C=CC=C3)C=N1,59.4,AM-I
COC1=CC=C(C2=CC=C(N=C2)C)C=C1,51.0,AM-I
CC(C1=CC=C(C#CC2=NC=CC=C2)C=C1)=O,67.2,AM-I
COC1=CC=CN=C1C#CC2=CC=CN=C2,54.0,AM-I
CC(C)(C)OC(C=C1)=CC=C1/C=C/C2=CC=C3SC=NC3=C2,94.2,AM-I
O=CC1=CN=C(C2=CC=C(C(F)=C2)C)C=C1,75.6,AM-I
O=C(OC(C)(C)C)N1C=C(C2=CN=CC=C2)C3=C1C=CC=C3,79.2,AM-I
CC1=CC(C(C(C2=CN3C(C=C2)=NC=C3)C)=O)=CC=C1,58.8,AM-I
CC1=CC=C(O1)C(C(C2=CC3=C(C=C2)C=NC=C3)C)=O,57.6,AM-I
CC1=C(C2=NC=CC(F)=C2)C=CC=C1,74.65098,AM-I
CC1=CC=C(C2=CC3=C(C=C2)NC=C3)S1,86.4,AM-I
COC1=NC=C(C2=C(ON=C2C)C)C=N1,55.8,AM-I
COCCOC1=CC2=NC=NC(NC3=CC=CC(C#CC4=CC=C5SC=NC5=C4)=C3)=C2C=C1OCCOC,65.4,AM-I
O=[N+]([O-])C1=CC=C(C=C1)C#CC2=C3N=CC=CN3N=C2,76.8,AM-I
CC1=CC(OC2=CC=C3SC=NC3=C2)=CC=C1,87.0,AM-I
O=C(OC(C)(C)C)N1C(C2=CN=C(C=C2)N3CCOCC3)=CC4=C1C=CC=C4,88.2,AM-I
FC1=CC=C(C(C=CC(OC)=N2)=C2C)C=C1,86.4,AM-I
CC1=CN=C(C2=CC=CS2)C=C1,67.2,AM-I
Cc1cccc(Nc2ccc3scnc3c2)c1C,84.0,AM-I
N#CC1=CC=C(C2=CN=C(OC)N=C2)C=N1,61.8,AM-I
O=C(/C=C/C1=CN=C2NC=CC2=C1)N3CCOCC3,49.2,AM-I
OC1=CC=C(C2=CN=C(C=C2)F)C3=C1C=CC=C3,73.8,AM-I
C1(C2=CC=CO2)=CC=C3NN=CC3=C1,68.4,AM-I
N#CC1=CC(C2=CC=CC=C2)=NC=C1,75.601044,AM-I
CCOC1=CC=C(C2=CC(C=O)=CC=C2)C=N1,79.801338,AM-I
FC1=NC=CC(C2=NC=CC=C2)=C1,63.0,AM-I
C1(C#CC2=CN=C3NC=CC3=N2)=CC=CN=C1,51.6,AM-I
COC1=CC=C(C2=NC=CC(F)=C2)C=C1F,77.4,AM-I
CCC(C=C1)=CC=C1C#CC(C=N2)=CN=C2OC,87.6,AM-I
COC(C1=CC=C(N(C=N2)C3=C2C=CC=C3)C=C1)=O,64.8,AM-I
CC1=C(C2=CN=C(OC)C=C2C)C=CC(F)=C1,87.0,AM-I
CC1=CC=CC(C)=C1C#CC2=NC=CC=C2,81.0,AM-I
O=C(C1=CC=CC=C1)C(C2=CC=CC3=C2C=NN3)CC,75.0,AM-I
COC1=CC=C(C2=CC=C3SC=NC3=C2)C=N1,72.6,AM-I
C1(C2=NC=CC3=C2C=CC=C3)=CC4=CC=CC=C4C=C1,74.050932,AM-I
NC1=CC=C(C=C1)C#CC2=CC=NC3=CC=CC=C23,61.8,AM-I
CC(C1=CC(C2=CC=C(F)C=C2C)=CN=C1)=O,72.0,AM-I
CC1=C(C(C=C2)=CC=C2C)C=NN1C,76.2,AM-I
COC1=CC=CC(C2=CC3=CC=CC=C3C=C2)=N1,94.202358,AM-I
NC1=CC=C(C=C1)C#CC2=CN=CN=C2,56.4,AM-I
NC1=CC=C(C)C(C#CCCOC2CCCCO2)=C1,69.0,AM-I
CC1=CC(C)=C(C(C2=CC=C(C(C)(C)C)C=C2)=N1)N,64.8,AM-I
FC1=CC=C(C(C2=CC(C)=CN=C2)=C1)F,60.6,AM-I
FC1=CC(C2=CC=CO2)=NC=C1,67.8,AM-I
N#CCC1=CC=C(C=C1)C#CC2=CN=CC(C(C)=O)=C2,70.2,AM-I
O=[N+]([O-])C1=CC=C(C=C1)C#CC(C=C2)=CC=C2N,76.8,AM-I
CC1=NC=CC(C2=CC=C(C=C2)N3C4=C(C=CC=C4)C5=C3C=CC=C5)=C1,73.8,AM-I
CC(C)(C1=CC=C(C(C=C2)=NC=C2C#N)C=C1)C,88.30194,AM-I
FC1=NC=CC=C1C2=CN=C3NC=CC3=C2,58.2,AM-I
NC1=CC=CC(C2=CC([N+]([O-])=O)=CC=C2C)=C1,67.5089661290322,AM-I
FC1=CC=C(C2=CC3=C(C=C2)C=NC=C3)C(F)=N1,57.6,AM-I
O=[N+]([O-])C1=CC(C2=CN(N=C2)C)=CC=C1C,70.2,AM-I
NC1=CC=C(C=C1)C#CC2=CC=CC3=C2C=NN3,66.0,AM-I
CC1=CSC(C2=CN=C3NC=CC3=C2)=C1,78.0,AM-I
CC1=CC=C2C(N=CN2C3=CC=CC(C(O)=O)=C3)=C1,55.2,AM-I
CC(NC1CCN(CC1)C(OCC2=CC=CC=C2)=O)C3=CC4=CC=CC=C4O3,62.4,AM-I
