SMILES,UV_RT-s,Method
O=CC1=CC(OC)=C(/C=C/C(C=C2)=CC=C2C)C=C1OC,71.4,AM-II
O=CC1=CC=C(/C=C/C(N2CCOCC2)=O)C(F)=C1F,48.6,AM-II
CC1=C(C(OC)=O)C=CC=C1OC2=CC(C)=NC=C2,39.6,AM-II
COC1=CN=CC(OC2=CC3=C(NC=C3)C=C2)=C1,48.0,AM-II
CC(=O)C1=CN=CC(OC2=CC=C(NC(=O)OC(C)(C)C)C=C2)=C1,69.6,AM-II
CN(C1=CC=C(C2=NC=CC(C)=C2)C=C1)C,43.2,AM-II
O=C(C1=CC=CC(NC(C=C2)=CN=C2OC)=C1)OCC,58.8,AM-II
CC1=CC=C(/C=C/C2=CC=CC3=C2C=CN=C3)C=C1,57.6,AM-II
O=[N+]([O-])C1=CC=C(NC2=CC=C(C=C2)CC)N=C1C,74.4,AM-II
CC1=CC=NC=C1OC1=CC=C(C2=CC=C(F)C=C2)C=C1,72.0,AM-II
Cc1ccc(Oc2ccc(C)cc2F)nc1,70.8,AM-II
CC1=NN=C(C2=CC=CC(C)=C2C)C=C1,52.2,AM-II
CC1=NC=CC=C1OC1=CC=C(C2=CC=C(F)C=C2)C=C1,72.6,AM-II
CC1=NN=C(OC2=CC=CC=C2C3=CC=CC=C3)C=C1,58.8,AM-II
O=[N+]([O-])C1=CC=C(NC2CCCCC2)N=C1C,72.6,AM-II
CC1=CC(C)=CC(OC(C=C2)=NN=C2C)=C1,56.4,AM-II
COC1=CC=C(Cl)C(NC2=CC=CC3=C2C=CN=C3)=C1,51.6,AM-II
FC1=CC=C(C=C1F)OC2=CN=C(OC)N=C2OC,54.0,AM-II
O=C(OC)C1=CC=C(NC2=C3OC=CC3=CC=C2)C(C)=C1,65.4,AM-II
O=CC1=C(OC)C=C(/C=C/C(NC(C)C)=O)C=C1,50.4,AM-II
COC(C1=CC=C(NC2=CC=CC=C2C)C=C1)=O,70.8,AM-II
CC1=NC(NC(C=C2C)=CC=C2O)=NC=C1,50.4,AM-II
CC1=CC(C2=CC=CC3=C2C=NN3)=CC=C1F,61.8,AM-II
Cc1ccc(Oc2c(C)cc(cc2C)[N+]([O-])=O)nc1,73.2,AM-II
O=CC1=CC=C(N2C3=C(C=CC=C3)N=C2)S1,60.6,AM-II
O=C(NC1=CC=CC(OC2=CN=CC(C(C)=O)=C2)=C1)OC(C)(C)C,61.2,AM-II
CC1=CN=C(NC2=CC=CC(SC)=C2)N=C1,67.8,AM-II
CC(C1=CC=C(C=C1OC2=CN=CC(C(C)=O)=C2)F)=O,52.2,AM-II
CC(C1=CC(NC2=NC=CC=C2)=CC=C1)C,47.4,AM-II
FC(F)(F)C1=CC=CC(OC(C=C2)=NN=C2C)=C1,55.2,AM-II
O=C(OCC)C1=CN=C(NC2=CC(OCC)=NC=C2)N=C1,63.0,AM-II
CC1=C(C(OC)=O)C=CC=C1OC(C(C)=N2)=CC=C2C,44.4,AM-II
CC1=C(OC2=CC=C3N=CC=CC3=C2)C=NC=C1,34.2,AM-II
CC(/C=C/C(C=C1OC)=CC=C1OC2=NC=CC(C(OC)=O)=C2)=O,58.2,AM-II
CC1=C(OC2=CC3=C(NC=C3)C=C2)C=NC=C1,42.0,AM-II
FC(C=C1C(C)=O)=CC=C1OC2=NC=CC(C(OC)=O)=C2,59.4,AM-II
BrC1=CC(CC)=CC=C1OC(C=C2)=NN=C2C,60.0,AM-II
CC1=CC=C(/C=C/C2=CC=C3N=CC=CC3=C2)C=C1,57.6,AM-II
CC(C1=CC=C(/C=C/C(N2CCOCC2)=O)C=C1F)=O,48.6,AM-II
COC1=NC=C(C=C1)NC2=CC=C(C(OC)=O)C(F)=C2,66.0,AM-II
O=[N+]([O-])C1=CC=CN=C1NC2=CC=C(N=C2C)C,37.8,AM-II
CC1=CC(OC2=CC=CN=C2C)=CC(C)=C1C#N,65.4,AM-II
O=C(OC)C1=NC=CC(NC(C=C2)=NC=C2C)=C1,38.4,AM-II
O=C(C1=CC(/C=C/C(C=C2)=CC=C2C)=CN=C1)OC,65.4,AM-II
O=CC1=CC=C(C=C1OC2=CN=CN2C)F,43.2,AM-II
CC(C1=CC=C(C=C1OC(C(C)=N2)=CC=C2C)F)=O,40.2,AM-II
O=[N+]([O-])C1=CC=CC2=C1NN=C2C(C=N3)=CC=C3OC,57.6,AM-II
N#CC1=C(C=CC=C1N(C=C2)C3=C2C=CC=C3C)C(F)(F)F,70.2,AM-II
O=[N+]([O-])C1=CC=C(NC2=CC(OCC)=NC=C2)C(C)=C1,55.8,AM-II
O=C(OC)C1=NC=CC(OC2=CC3=C(NC=C3)C=C2)=C1,51.6,AM-II
FC1=NC=C(C(C=N2)=CC=C2OC)C=N1,48.6,AM-II
CC(C1=CC=C(NCC2=CC=CC=C2F)C=C1)=O,68.4,AM-II
Cc1cc(C)nc(Nc2cncc3ccccc23)c1,38.4,AM-II
CC(/C=C/C(C=C1OC)=CC=C1OC2=CC(C)=NC=C2)=O,40.8,AM-II
COC(C)c1ccc(Oc2ccc(C)cn2)cc1,70.2,AM-II
FC1=CC=CC(NC2=CC(C(OC)=O)=CC=N2)=N1,53.4,AM-II
Cc1cccc(Oc2c(C)cc(Cl)cc2Cl)n1,77.4,AM-II
CN1N=C(/C=C/C(NC(C)C)=O)C=C1,39.6,AM-II
COc1cc(OC)cc(\C=C\c2ccc(Oc3cccc(C)n3)cc2)c1,77.4,AM-II
CC1=C(C2=CC3=CC=CC=C3C=C2)C=NC=C1,48.0,AM-II
