SMILES,UV_RT-s,Method
CCOC1=CC=C(N(CC2)CCN2CCCC)C=N1,47.4,AM-V
CC(NC1=CC(N(CC2)CCN2CCCC)=CC=C1)=O,43.8,AM-V
CCCCN1CCN(C2=CC=CC(OC(C)C)=C2)CC1,53.4,AM-V
FC1=CC(N(CC2)CCN2CCCC)=CC=C1OC,48.0,AM-V
COC(C1=CC=C(N(CCC2)CC2C)C=C1)=O,72.0,AM-V
O=CC1=CC=C(N(CCC2)CC2C)S1,63.0,AM-V
CCOC1=CC=C(N(CCC2)CC2C)C=N1,64.2,AM-V
CC(NC1=CC(N(CCC2)CC2C)=CC=C1)=O,48.0,AM-V
CC1CN(C2=CC=C(C=C2)N3C4=C(C=CC=C4)C5=C3C=CC=C5)CCC1,87.6,AM-V
CC1CN(C2=CC=CC(OC(C)C)=C2)CCC1,62.4,AM-V
CC(C1=CC=C(N(C)C(C=C2)=CC=C2OC)S1)=O,64.2,AM-V
COC(C1=CC=C(N(C2CCCCC2)C)C=C1)=O,75.0,AM-V
O=CC1=CC=C(N(C2CCCCC2)C)O1,62.4,AM-V
CC(C1=CC(N(C2CCCCC2)C)=CC=C1)=O,67.8,AM-V
FC1=NC=C(N2CCOCC2)C=C1,51.6,AM-V
COC(C1=CC=C(N2CCOCC2)C=C1)=O,60.0,AM-V
CC(C1=CC=C(N2CCOCC2)S1)=O,54.6,AM-V
CCOC1=CC=C(N2CCOCC2)C=N1,57.6,AM-V
COC1=CC=CC=C1N2CCOCC2,55.8,AM-V
CC(C1=CC(N(CC2)CCN2CCOC)=CC=C1)=O,43.8,AM-V
COCCN1CCN(C2=CC=CC(C)=C2C)CC1,52.8,AM-V
O=[N+](C1=CC(N(CC2)CCN2CCOC)=CC=C1C)[O-],49.2,AM-V
COC1=NC=CC=C1N(CCOC2)C2C,57.6,AM-V
COC1=NC=C(N(CCOC2)C2C)C=C1,56.4,AM-V
CC1N(C2=CC=C(C=C2)SC)CCOC1,63.0,AM-V
CC1N(C2=CC=CC(OC(C)C)=C2)CCOC1,64.8,AM-V
O=CC1=CC=C(N(C2CCCCC2)C)S1,65.4,AM-V
FC1=NC=C(N(CC2)CC3=C2C=CC=C3)C=C1,66.0,AM-V
