SMILES,UV_RT-s,Method
ClC(C=C1)=CC=C1C2=C(C(OCC)=O)C(C3CC3)=NC4=CC=CC=C24,117.0,AM-VI
ClC(C=C1)=CC=C1C(C2=CC=CC=C2N=C3C4=CC=C(C(F)(F)F)C=C4)=C3C,123.6,AM-VI
ClC(C=C1)=CC=C1C(C2=CC=CC=C2N=C3CC4)=C3CC4C#N,88.8,AM-VI
ClC(C=C1)=CC=C1C2=C(C(OCC)=O)C(C(C)C)=NC3=CC=CC=C23,119.4,AM-VI
ClC(C=C1)=CC=C1C2=C(C(OCC)=O)C(CCC)=NC3=CC=CC=C23,114.6,AM-VI
ClC(C=C1)=CC=C1C2=CC(C3=CC=CC(OC)=C3)=NC4=CC=CC=C24,118.8,AM-VI
ClC(C=C1)=CC=C1C2=C3CC(C4=CC=C(O)C=C4)CCC3=NC5=CC=CC=C25,83.4,AM-VI
ClC(C=C1N=C2C)=CC=C1C(C3=CC=CC=C3)=C2C(OCC)=O,109.8,AM-VI
ClC1=CC=C2C(C3=CC=CC=C3)=C(C(OCC)=O)C(C4CC4)=NC2=C1,124.2,AM-VI
ClC(C=C1N=C2C3=CC=C(C(F)(F)F)C=C3)=CC=C1C(C4=CC=CC=C4)=C2C,128.4,AM-VI
ClC(C=C1N=C2CC3)=CC=C1C(C4=CC=CC=C4)=C2CC3C#N,99.0,AM-VI
ClC1=CC=C2C(C3=CC=CC=C3)=C(C(OCC)=O)C(C(C)C)=NC2=C1,127.2,AM-VI
ClC1=CC=C2C(C3=CC=CC=C3)=C(C(OCC)=O)C(CCC)=NC2=C1,121.8,AM-VI
ClC1=CC=C2C(C3=CC=CC=C3)=CC(C4=CC=CC(OC)=C4)=NC2=C1,127.2,AM-VI
ClC1=CC=C2C(C3=CC=CC=C3)=C4CC(C5=CC=C(O)C=C5)CCC4=NC2=C1,99.6,AM-VI
ClC1=CC=C2C(C(C3=CC=CC=C3)=C(CCCC4)C4=N2)=C1,100.8,AM-VI
ClC1=CC=C2C(C(C3=CC=CC=C3)=C(CC4=C5C=CC=C4)C5=N2)=C1,119.4,AM-VI
ClC1=CC=C2C(C(C3=CC=CC=C3)=C(C(C4=CC=CC=C4)=O)C(C5=CC=CC=C5)=N2)=C1,116.4,AM-VI
ClC1=CC=C(N=C2CC)C(C(C3=CC=CC=C3)=C2C(CC)=O)=C1,113.4,AM-VI
ClC1=CC=C2C(C(C3=CC=CC=C3)=C(CCC4)C4=N2)=C1,105.0,AM-VI
ClC1=CC=C2C(C(C3=CC=CC=C3)=C(C(CC(C4)C5=CC=CC=C5)=O)C4=N2)=C1,111.6,AM-VI
ClC1=CC=C2C(C(C3=CC=CC=C3F)=C(C(C4=CC=CC=C4)=O)C(C5=CC=CC=C5)=N2)=C1,114.6,AM-VI
ClC1=CC=C(N=C2CC)C(C(C3=CC=CC=C3F)=C2C(CC)=O)=C1,110.4,AM-VI
